file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\web\reactive\ReactiveWebServerFactoryAutoConfigurationTests.java,org.springframework.boot.autoconfigure.web.reactive.ReactiveWebServerFactoryAutoConfigurationTests$DoubleRegistrationUndertowBuilderCustomizerConfiguration,innerclass,5,5,0,5,2,1,0,2,0,0.0,1.0,1.0,2,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,1,0,0,9,2,0,0,0,0,0,0,1,0,2,0,0,0,1,14,8,0
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\spring-boot-project\spring-boot-actuator\src\test\java\org\springframework\boot\actuate\endpoint\web\annotation\AbstractWebEndpointIntegrationTests.java,org.springframework.boot.actuate.endpoint.web.annotation.AbstractWebEndpointIntegrationTests$SecurityContextEndpoint,innerclass,3,3,0,3,2,1,0,2,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,1,2,0,1,0,1,0,0,0,0,9,8,0
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\main\java\org\springframework\boot\autoconfigure\kafka\KafkaProperties.java,org.springframework.boot.autoconfigure.kafka.KafkaProperties$Admin,innerclass,5,5,0,5,16,1,0,6,102,0.875,0.075,0.1,16,0,16,0,0,0,16,0,0,0,9,0,0,9,0,0,3,0,0,62,10,0,0,0,0,0,0,12,0,11,0,0,0,0,70,9,0
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\condition\ConditionalOnMissingBeanTests.java,org.springframework.boot.autoconfigure.condition.ConditionalOnMissingBeanTests$NonspecificFactoryBeanStringAttributeConfiguration,innerclass,3,3,0,3,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\session\SessionAutoConfigurationEarlyInitializationIntegrationTests.java,org.springframework.boot.autoconfigure.session.SessionAutoConfigurationEarlyInitializationIntegrationTests,class,4,4,0,4,1,1,0,6,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0,1,0,0,1,1,31,0,0
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\bom\bomr\LibraryWithVersionOptions.java,org.springframework.boot.build.bom.bomr.LibraryWithVersionOptions,class,2,6,4,2,3,1,0,0,0,0.33333334,0.6666667,1.0,3,0,0,0,0,3,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,7,0,0
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\spring-boot-project\spring-boot-actuator-autoconfigure\src\main\java\org\springframework\boot\actuate\autoconfigure\wavefront\WavefrontSenderConfiguration.java,org.springframework.boot.actuate.autoconfigure.wavefront.WavefrontSenderConfiguration$WavefrontTracingOrMetricsCondition$TracingCondition,innerclass,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,8,0
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\spring-boot-project\spring-boot-actuator\src\test\java\org\springframework\boot\actuate\context\properties\ConfigurationPropertiesReportEndpointWebIntegrationTests.java,org.springframework.boot.actuate.context.properties.ConfigurationPropertiesReportEndpointWebIntegrationTests$TestConfiguration,innerclass,8,8,0,8,4,1,0,2,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,2,14,4,0,0,0,0,2,0,0,0,0,0,0,0,0,19,8,0
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\condition\ConditionalOnBeanTests.java,org.springframework.boot.autoconfigure.condition.ConditionalOnBeanTests$OnAnnotationWithFactoryBeanConfiguration,innerclass,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11,8,0
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\spring-boot-project\spring-boot-actuator-autoconfigure\src\main\java\org\springframework\boot\actuate\autoconfigure\tracing\OpenTelemetryPropagationConfigurations.java,org.springframework.boot.actuate.autoconfigure.tracing.OpenTelemetryPropagationConfigurations$PropagationWithBaggage,innerclass,15,15,0,15,3,1,0,7,0,0.0,1.0,1.0,3,0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,1,0,1,15,2,0,0,0,0,4,0,4,0,4,0,0,0,0,33,8,0
